# 1:t 2:x 3:y 4:z 5:P 6:Pmac 7:U 8:V 9:T
0.388311 0.15 0.2 0 0.994637 1.70344 -4.53939e-06 1.15184e-05 0
0.389981 0.15 0.2 0 0.994848 1.71457 -4.5825e-06 -2.26594e-05 0
0.391649 0.15 0.2 0 0.991527 1.70451 -4.58348e-06 2.63447e-05 0
0.393315 0.15 0.2 0 0.989363 1.68539 -4.56988e-06 -2.64596e-05 0
0.394979 0.15 0.2 0 0.987516 1.67501 -4.6337e-06 7.81927e-06 0
0.396641 0.15 0.2 0 0.986183 1.67412 -4.67047e-06 -6.2942e-06 0
0.398301 0.15 0.2 0 0.986468 1.6737 -4.68573e-06 -1.6086e-05 0
0.39996 0.15 0.2 0 0.984839 1.66822 -4.71656e-06 1.85225e-05 0
0.401615 0.15 0.2 0 0.984711 1.68151 -4.75633e-06 -3.23406e-06 0
0.403269 0.15 0.2 0 0.987065 1.67977 -4.79002e-06 -5.50747e-06 0
0.404921 0.15 0.2 0 0.986415 1.66686 -4.81966e-06 -2.6306e-05 0
0.40657 0.15 0.2 0 0.988583 1.66952 -4.83299e-06 3.22243e-05 0
0.408218 0.15 0.2 0 0.990397 1.6766 -4.8756e-06 -2.80001e-05 0
0.409863 0.15 0.2 0 0.991857 1.70161 -4.87816e-06 1.3086e-05 0
0.411506 0.15 0.2 0 0.993571 1.69806 -4.87461e-06 -2.95201e-05 0
0.413148 0.15 0.2 0 0.99572 1.6866 -4.94982e-06 -6.16811e-06 0
0.414786 0.15 0.2 0 0.995455 1.67933 -4.9743e-06 2.45228e-05 0
0.41642 0.15 0.2 0 0.996017 1.68341 -5.03526e-06 -1.50456e-05 0
0.418051 0.15 0.2 0 0.997263 1.69204 -5.06112e-06 -2.28692e-06 0
0.419678 0.15 0.2 0 0.997592 1.71225 -5.09803e-06 -4.40891e-06 0
0.421301 0.15 0.2 0 0.997798 1.70308 -5.10069e-06 -5.2508e-07 0
0.42292 0.15 0.2 0 0.997538 1.68224 -5.123e-06 -1.39716e-05 0
0.424537 0.15 0.2 0 0.996914 1.672 -5.15211e-06 5.28898e-06 0
0.426149 0.15 0.2 0 0.995892 1.6693 -5.17501e-06 -8.55664e-06 0
0.427758 0.15 0.2 0 0.996222 1.67645 -5.17769e-06 -3.95944e-07 0
0.429364 0.15 0.2 0 0.996144 1.69466 -5.18797e-06 -4.23011e-06 0
0.430966 0.15 0.2 0 0.99667 1.68839 -5.21833e-06 -4.45132e-06 0
0.432565 0.15 0.2 0 0.996483 1.67309 -5.23683e-06 -6.53477e-06 0
0.434161 0.15 0.2 0 0.995767 1.66621 -5.24386e-06 -1.24192e-05 0
0.435752 0.15 0.2 0 0.996173 1.67033 -5.25941e-06 9.14249e-06 0
0.43734 0.15 0.2 0 0.997449 1.68029 -5.2595e-06 -6.94577e-06 0
0.438926 0.15 0.2 0 0.99837 1.70317 -5.28577e-06 -3.73115e-06 0
0.440508 0.15 0.2 0 0.999393 1.69524 -5.29145e-06 -4.48521e-06 0
0.442086 0.15 0.2 0 0.999948 1.67633 -5.31284e-06 -2.91872e-06 0
0.443661 0.15 0.2 0 0.999931 1.66719 -5.23789e-06 -1.89611e-05 0
0.445233 0.15 0.2 0 1.00003 1.66899 -5.3715e-06 1.52297e-05 0
0.446801 0.15 0.2 0 1.00087 1.67644 -5.35248e-06 -1.5165e-05 0
0.448367 0.15 0.2 0 1.00314 1.70041 -5.36811e-06 -5.73742e-06 0
0.449929 0.15 0.2 0 1.00219 1.69372 -5.3792e-06 1.04843e-05 0
0.451487 0.15 0.2 0 1.00279 1.67994 -5.3764e-06 -7.56911e-06 0
0.453043 0.15 0.2 0 1.00218 1.67357 -5.54282e-06 -1.71238e-05 0
0.454595 0.15 0.2 0 1.00147 1.67867 -5.20454e-06 1.50879e-05 0
0.456144 0.15 0.2 0 1.004 1.68806 -5.38644e-06 -1.7899e-05 0
0.457691 0.15 0.2 0 1.00317 1.70544 -5.49714e-06 -4.24906e-06 0
0.459233 0.15 0.2 0 1.00436 1.69752 -5.41075e-06 -1.06433e-05 0
0.460773 0.15 0.2 0 1.00341 1.67537 -5.36889e-06 1.08858e-05 0
0.462309 0.15 0.2 0 1.00551 1.66787 -5.43905e-06 2.24907e-05 0
0.463842 0.15 0.2 0 1.00293 1.66027 -5.42716e-06 -4.95577e-05 0
0.465372 0.15 0.2 0 1.00427 1.66837 -5.44194e-06 1.79854e-06 0
0.466899 0.15 0.2 0 1.00487 1.6911 -5.44813e-06 3.30383e-06 0
0.468423 0.15 0.2 0 1.00609 1.68742 -5.47164e-06 -1.40146e-05 0
0.469944 0.15 0.2 0 1.00561 1.67316 -5.43015e-06 -1.13821e-05 0
0.471461 0.15 0.2 0 1.00578 1.66834 -5.44098e-06 1.82934e-05 0
0.472976 0.15 0.2 0 1.00707 1.67248 -5.44834e-06 -9.42303e-06 0
0.474488 0.15 0.2 0 1.00632 1.68976 -5.5071e-06 9.64027e-06 0
0.475995 0.15 0.2 0 1.00818 1.68701 -5.44267e-06 -3.43845e-05 0
0.477501 0.15 0.2 0 1.00793 1.67264 -5.49508e-06 6.82762e-06 0
0.479004 0.15 0.2 0 1.00791 1.66744 -5.48751e-06 -7.24036e-06 0
0.480503 0.15 0.2 0 1.00822 1.67021 -5.49926e-06 -3.16618e-06 0
0.481999 0.15 0.2 0 1.00874 1.68678 -5.50207e-06 -4.22944e-06 0
0.483493 0.15 0.2 0 1.00954 1.68139 -5.50502e-06 -4.966e-06 0
0.484983 0.15 0.2 0 1.01084 1.66821 -5.5271e-06 -4.10495e-06 0
0.486471 0.15 0.2 0 1.00956 1.66219 -5.52077e-06 -1.77542e-05 0
0.487955 0.15 0.2 0 1.01133 1.66175 -5.52084e-06 -6.39437e-06 0
0.489437 0.15 0.2 0 1.01233 1.67979 -5.5273e-06 -2.14604e-05 0
0.490915 0.15 0.2 0 1.01053 1.6741 -5.50759e-06 2.46626e-05 0
0.49239 0.15 0.2 0 1.01205 1.66139 -5.53178e-06 -5.26198e-06 0
0.493863 0.15 0.2 0 1.0124 1.65727 -5.52173e-06 -1.90363e-05 0
0.495333 0.15 0.2 0 1.01326 1.65864 -5.51758e-06 2.48215e-05 0
0.4968 0.15 0.2 0 1.01275 1.6725 -5.56078e-06 -1.68653e-05 0
0.498264 0.15 0.2 0 1.01369 1.66778 -5.54228e-06 -1.10137e-05 0
0.499725 0.15 0.2 0 1.01335 1.65241 -5.53743e-06 -3.88986e-06 0
0.501184 0.15 0.2 0 1.01351 1.6458 -5.55721e-06 -1.01357e-05 0
0.50264 0.15 0.2 0 1.01269 1.6473 -5.58029e-06 1.02594e-05 0
0.504093 0.15 0.2 0 1.01262 1.65682 -5.55885e-06 -3.73497e-05 0
0.505543 0.15 0.2 0 1.01395 1.68303 -5.54104e-06 1.92422e-05 0
0.50699 0.15 0.2 0 1.01504 1.67484 -5.54806e-06 -1.56107e-05 0
0.508435 0.15 0.2 0 1.01475 1.65262 -5.56489e-06 -6.43997e-06 0
0.509877 0.15 0.2 0 1.0143 1.64102 -5.57382e-06 -4.52827e-06 0
0.511316 0.15 0.2 0 1.01422 1.64024 -5.5724e-06 -4.58061e-06 0
0.512752 0.15 0.2 0 1.01552 1.64782 -5.55081e-06 -8.53111e-06 0
0.514185 0.15 0.2 0 1.01612 1.65843 -5.57232e-06 1.47396e-06 0
0.515616 0.15 0.2 0 1.01653 1.68552 -5.55997e-06 -1.09797e-05 0
