# 1:t 2:x 3:y 4:z 5:P 6:Pmac 7:U 8:V 9:T
0.490915 0.25 0.2 0 0.829538 1.50428 7.21237e-07 1.88706e-05 0
0.49239 0.25 0.2 0 0.829589 1.49044 7.08331e-07 -1.78287e-05 0
0.493863 0.25 0.2 0 0.829496 1.48753 7.37145e-07 -1.31903e-06 0
0.495333 0.25 0.2 0 0.830248 1.49051 1.27837e-06 2.24463e-05 0
0.4968 0.25 0.2 0 0.828867 1.50624 5.14538e-07 -1.03669e-05 0
0.498264 0.25 0.2 0 0.829804 1.49381 7.83502e-07 -1.14321e-05 0
0.499725 0.25 0.2 0 0.829756 1.47934 8.09012e-07 -3.45855e-06 0
0.501184 0.25 0.2 0 0.827777 1.4717 5.26185e-07 3.63249e-05 0
0.50264 0.25 0.2 0 0.828046 1.48168 8.01242e-07 -2.7406e-05 0
0.504093 0.25 0.2 0 0.827962 1.49122 6.91241e-07 -6.87229e-06 0
0.505543 0.25 0.2 0 0.828823 1.51523 9.33966e-07 8.39119e-06 0
0.50699 0.25 0.2 0 0.828418 1.49405 8.37488e-07 -3.90934e-06 0
0.508435 0.25 0.2 0 0.827858 1.47173 7.77501e-07 -6.8858e-06 0
0.509877 0.25 0.2 0 0.826386 1.4653 3.9148e-07 1.79068e-06 0
0.511316 0.25 0.2 0 0.827946 1.47196 9.63862e-07 -3.03178e-06 0
0.512752 0.25 0.2 0 0.827912 1.47704 8.74173e-07 6.93294e-07 0
0.514185 0.25 0.2 0 0.828428 1.48827 8.3854e-07 5.08323e-06 0
0.515616 0.25 0.2 0 0.828859 1.51569 9.68645e-07 -1.36847e-06 0
0.517045 0.25 0.2 0 0.829222 1.49631 7.96314e-07 2.12992e-06 0
0.51847 0.25 0.2 0 0.829395 1.47592 8.75636e-07 -2.78784e-06 0
0.519893 0.25 0.2 0 0.828471 1.46776 8.01464e-07 -5.68498e-06 0
0.521313 0.25 0.2 0 0.829111 1.47037 8.0435e-07 5.96869e-08 0
0.52273 0.25 0.2 0 0.828966 1.47648 7.25218e-07 7.18366e-06 0
0.524145 0.25 0.2 0 0.828853 1.48746 7.04388e-07 7.17837e-06 0
0.525557 0.25 0.2 0 0.829817 1.51382 9.11357e-07 -2.69944e-05 0
0.526966 0.25 0.2 0 0.829354 1.49263 8.20892e-07 1.91657e-05 0
0.528373 0.25 0.2 0 0.829353 1.47081 9.74095e-07 3.28811e-06 0
